brand,num_items,head_top20_items,tail_bottom80_items,mean_interactions,total_interactions
Matrix,483,144,339,7.507246376811594,3626
Vaseline,116,59,57,30.78448275862069,3571
AXE,163,82,81,21.42331288343558,3492
DevaCurl,109,60,49,31.844036697247706,3471
Cetaphil,51,37,14,66.76470588235294,3405
Pureology,285,115,170,11.933333333333334,3401
Nexxus,195,97,98,17.384615384615383,3390
EcoTools,84,52,32,39.642857142857146,3330
AMERICAN CREW,180,75,105,18.394444444444446,3311
Ardell,194,75,119,16.99484536082474,3297
Pantene,292,106,186,11.284246575342467,3295
Kerastase,305,103,202,10.754098360655737,3280
HerStyler,118,71,47,27.635593220338983,3261
ToiletTree Products,5,5,0,647.2,3236
Clear,30,27,3,107.13333333333334,3214
Andis,59,40,19,53.983050847457626,3185
TRESemme,152,74,78,20.42763157894737,3105
Elizabeth Arden,391,108,283,7.9335038363171355,3102
Sexy Hair,248,109,139,12.487903225806452,3097
MAVALA,56,16,40,55.25,3094
Generic,138,57,81,22.405797101449274,3092
Obagi Medical,96,51,45,32.09375,3081
Vidal Sassoon,108,39,69,28.47222222222222,3075
The Body Shop,355,111,244,8.653521126760563,3072
Eucerin,97,45,52,31.288659793814432,3035
Its a 10,41,26,15,73.8780487804878,3029
Joico,380,111,269,7.934210526315789,3015
Millennium Tanning Products,20,11,9,149.2,2984
Peter Thomas Roth,152,86,66,19.473684210526315,2960
Kleancolor,292,66,226,10.10958904109589,2952
Fake Bake,57,22,35,50.50877192982456,2879
Liz Claiborne,192,70,122,14.979166666666666,2876
cool2day,108,53,55,26.462962962962962,2858
Real Techniques,22,17,5,129.77272727272728,2855
Rusk,270,96,174,10.366666666666667,2799
Pond&#39;s,89,36,53,31.359550561797754,2791
Rosallini,227,65,162,12.268722466960352,2785
Crazy Cart,18,9,9,154.27777777777777,2777
St. Ives,89,41,48,31.1123595505618,2769
Evermarket,15,14,1,184.33333333333334,2765
Dolce &amp; Gabbana,176,56,120,15.676136363636363,2759
Hempz,123,35,88,21.983739837398375,2704
Seche,51,13,38,52.8235294117647,2694
KONAD Nail Art,136,51,85,19.705882352941178,2680
Versace,165,54,111,15.884848484848485,2621
World Pride,45,22,23,57.422222222222224,2584
niceEshop,64,34,30,40.125,2568
Alterna,217,93,124,11.824884792626728,2566
Almay,292,106,186,8.702054794520548,2541
Tigi,107,69,38,23.738317757009344,2540
Palmer&#39;s,182,79,103,13.862637362637363,2523
Harmony,171,72,99,14.514619883040936,2482
RoC,36,23,13,68.58333333333333,2469
Bumble and Bumble,191,86,105,12.837696335078535,2452
Earth Therapeutics,165,63,102,14.836363636363636,2448
Banana Boat,104,47,57,23.509615384615383,2445
SODIAL(TM),53,34,19,45.698113207547166,2422
SkinCeuticals,140,77,63,17.25,2415
Physicians Formula,322,90,232,7.459627329192546,2402
Kiss My Face,179,88,91,13.374301675977653,2394
Simple,33,21,12,71.45454545454545,2358
Soft &#39;N Style,98,50,48,23.79591836734694,2332
Nivea,200,65,135,11.635,2327
Biore,84,35,49,27.047619047619047,2272
Eminence Organic Skin Care,244,89,155,9.229508196721312,2252
Too Faced,160,67,93,13.86875,2219
Tweezerman,108,61,47,20.537037037037038,2218
Agadir,55,31,24,39.58181818181818,2177
Sebastian,183,71,112,11.672131147540984,2136
La Roche-Posay,111,53,58,19.01801801801802,2111
Seki Edge,34,23,11,62.0,2108
100% Pure,156,51,105,13.429487179487179,2095
Givenchy,224,61,163,9.34375,2093
Nautica,54,19,35,38.592592592592595,2084
Aztec Secret,2,2,0,1034.5,2069
EltaMD,26,23,3,79.5,2067
Benefit Cosmetics,172,77,95,11.936046511627907,2053
Alba Botanica,145,59,86,14.158620689655173,2053
MapofBeauty,58,35,23,35.10344827586207,2036
Zadro,114,70,44,17.18421052631579,1959
Shiseido,437,73,364,4.453089244851259,1946
Shea Moisture,103,47,56,18.854368932038835,1942
CeraVe,27,21,6,71.85185185185185,1940
Desert Essence,115,40,75,16.791304347826088,1931
Dotting,2,2,0,948.0,1896
Nature&#39;s Gate,184,82,102,10.244565217391305,1885
Schwarzkopf,166,51,115,11.337349397590362,1882
Omagazee,81,52,29,23.209876543209877,1880
Aquage,140,69,71,13.392857142857142,1875
Crabtree &amp; Evelyn,330,81,249,5.651515151515151,1865
PERFECT IMAGE,9,8,1,207.11111111111111,1864
OGX,68,50,18,27.294117647058822,1856
Bed Head,82,29,53,22.634146341463413,1856
Kenra,201,67,134,9.17412935323383,1844
O&#39;Keeffe&#39;s Company,2,1,1,921.0,1842
Yves Saint Laurent,198,49,149,9.207070707070708,1823
Pura d&#39;or,11,11,0,165.45454545454547,1820
Scunci,108,48,60,16.84259259259259,1819
Aveda,189,86,103,9.53968253968254,1803
Christian Dior,286,63,223,6.2377622377622375,1784
theBalm,71,24,47,25.112676056338028,1783
Toppik,63,23,40,28.095238095238095,1770
The Wet Brush,33,24,9,53.484848484848484,1765
Dr. Bronner&#39;s Magic Soaps,70,31,39,25.071428571428573,1755
Gucci,166,51,115,10.524096385542169,1747
IBD,198,61,137,8.823232323232324,1747
Goody,193,60,133,9.036269430051814,1744
Supre,113,41,72,15.353982300884956,1735
Bvlgari,124,48,76,13.943548387096774,1729
Avalon Organics,91,46,45,18.87912087912088,1718
Godefroy,34,15,19,50.1764705882353,1706
Floxite,27,20,7,62.925925925925924,1699
Davines,220,68,152,7.622727272727273,1677
The Shave Well Company,3,3,0,558.6666666666666,1676
Aubrey Organics,153,55,98,10.954248366013072,1676
Organix,153,55,98,10.947712418300654,1675
Hawaiian Tropic,65,30,35,25.692307692307693,1670
Jane Iredale,227,60,167,7.348017621145375,1668
Nubian Heritage,136,52,84,12.147058823529411,1652
BeautyBlender,18,13,5,91.33333333333333,1644
Helen Of Troy,59,20,39,27.576271186440678,1627
Jergens,90,47,43,17.933333333333334,1614
SODIAL,8,5,3,197.75,1582
Manic Panic,68,29,39,22.91176470588235,1558
NARS,100,34,66,15.53,1553
Dead Sea Premier,103,51,52,15.0,1545
Queen Helene,106,35,71,14.49056603773585,1536
Medline,97,23,74,15.75257731958763,1528
Paris Hilton,108,29,79,14.13888888888889,1527
Clean &amp; Clear,81,43,38,18.839506172839506,1526
Fekkai,75,43,32,20.106666666666666,1508
Etude House,269,59,210,5.568773234200743,1498
Guerlain,275,55,220,5.414545454545454,1489
MISSHA,91,23,68,16.263736263736263,1480
HUGO BOSS,123,35,88,11.991869918699187,1475
Swissco,76,40,36,19.36842105263158,1472
RapidLash,6,6,0,245.16666666666666,1471
Betty Dain,99,34,65,14.717171717171718,1457
Phyto,177,53,124,8.175141242937853,1447
Vanicream,21,14,7,68.38095238095238,1436
Clarins,333,50,283,4.297297297297297,1431
Denman,74,26,48,19.243243243243242,1424
Vivo Per Lei,45,26,19,31.488888888888887,1417
laura mercier,223,47,176,6.349775784753363,1416
Jason Natural,97,38,59,14.597938144329897,1416
Caruso,19,9,10,74.21052631578948,1410
BHCosmetics,27,18,9,52.148148148148145,1408
Max Factor,167,38,129,8.419161676646707,1406
Thierry Mugler,125,55,70,11.2,1400
Rimmel,345,50,295,4.04927536231884,1397
350buy,126,24,102,11.063492063492063,1394
Derma E,92,48,44,15.054347826086957,1385
Oyang,22,18,4,62.72727272727273,1380
Jubujub,179,51,128,7.687150837988827,1376
Weleda,81,43,38,16.82716049382716,1363
Glytone,70,30,40,19.442857142857143,1361
L&#39;anza,151,52,99,8.993377483443709,1358
Macadamia Oil,12,8,4,113.08333333333333,1357
Juicy Couture,106,30,76,12.80188679245283,1357
Tree Hut,26,13,13,51.34615384615385,1335
Dial,146,56,90,9.136986301369863,1334
MARC JACOBS,106,36,70,12.566037735849056,1332
DPNY,1,1,0,1330.0,1330
KMS,162,51,111,8.11111111111111,1314
Zoya,293,48,245,4.48122866894198,1313
Elizabeth Taylor,85,30,55,15.447058823529412,1313
Viviscal,16,12,4,82.0,1312
Creative Nail,64,22,42,20.4375,1308
3d nail art,107,25,82,12.22429906542056,1308
Wet &#39;n Wild,327,35,292,3.9908256880733943,1305
XFUSION,55,24,31,23.70909090909091,1304
lilu,13,8,5,99.92307692307692,1299
Sun Laboratories,24,11,13,53.791666666666664,1291
Gold Bond,47,26,21,27.425531914893618,1289
Uniqstore,8,3,5,161.0,1288
Nail Tek,77,33,44,16.662337662337663,1283
Tangle Teezer,19,12,7,67.47368421052632,1282
Thayer&#39;s,26,10,16,49.23076923076923,1280
Orly,252,33,219,5.0476190476190474,1272
Nicky&#39;s Gift,59,17,42,21.440677966101696,1265
Smashbox,226,47,179,5.54424778761062,1253
Batiste,26,14,12,48.03846153846154,1249
Donna Karan,105,34,71,11.847619047619048,1244
Pre de Provence,121,39,82,10.28099173553719,1244
Davidoff,77,31,46,16.142857142857142,1243
Dana,137,41,96,9.043795620437956,1239
MIZANI,163,49,114,7.576687116564417,1235
Mixed Chicks,33,18,15,37.39393939393939,1234
Avlon,132,45,87,9.325757575757576,1231
Cricket,96,31,65,12.739583333333334,1223
Perry Ellis,119,37,82,10.235294117647058,1218
Kingmys,16,10,6,75.0625,1201
Aquolina,50,20,30,24.02,1201
Boots,152,29,123,7.875,1197
Tropic Isle,10,6,4,119.2,1192
Blinc,34,15,19,35.029411764705884,1191
Alpha Hydrox,17,12,5,69.76470588235294,1186
Bio,4,3,1,295.75,1183
Thermal Spa,14,10,4,84.35714285714286,1181
Enjoy,76,41,35,15.526315789473685,1180
BioSilk,96,29,67,12.239583333333334,1175
Life-Flo,62,29,33,18.870967741935484,1170
Method,46,17,29,25.282608695652176,1163
Carol&#39;s Daughter,79,36,43,14.658227848101266,1158
Coty,115,39,76,10.052173913043479,1156
Yes To,37,27,10,31.216216216216218,1155
Issey Miyake,72,20,52,16.0,1152
Carolina Herrera,159,41,118,7.188679245283019,1143
The Naked Bee,50,29,21,22.84,1142
Devoted Creations,126,40,86,8.968253968253968,1130
Avene,133,48,85,8.421052631578947,1120
HongNuo,71,29,42,15.704225352112676,1115
Luxor Pro,16,6,10,69.25,1108
Motions,48,19,29,23.041666666666668,1106
It&#39;s a 10,32,19,13,34.28125,1097
PCA Skin,84,41,43,12.857142857142858,1080
Kirkland Signature,16,12,4,67.375,1078
Image Skin Care,55,34,21,19.509090909090908,1073
SKIN79,39,19,20,27.358974358974358,1067
Taobaopit,2,1,1,533.5,1067
Herbal Essences,129,52,77,8.217054263565892,1060
Ed Hardy,107,29,78,9.869158878504672,1056
Christian Audigier,59,24,35,17.847457627118644,1053
Jerome Russell,40,17,23,26.3,1052
Blue Lizard,19,15,4,55.36842105263158,1052
Alba,51,25,26,20.54901960784314,1048
one &#39;n only,54,20,34,19.333333333333332,1044
Aussie,97,33,64,10.75257731958763,1043
Goldwell,281,37,244,3.7081850533807827,1042
Rogaine,11,8,3,94.72727272727273,1042
Reviva,78,31,47,13.256410256410257,1034
MyChelle Dermaceuticals,76,39,37,13.552631578947368,1030
Oribe,60,42,18,17.0,1020
Kenneth Cole,52,22,30,19.48076923076923,1013
Wella,215,45,170,4.693023255813953,1009
T3,38,19,19,26.394736842105264,1003
"Giovanni Cosmetics, Inc.",63,31,32,15.873015873015873,1000
Thymes,132,51,81,7.507575757575758,991
Natural Cosmetics,28,15,13,35.285714285714285,988
Glamglow,18,9,9,54.72222222222222,985
Body Drench,47,18,29,20.914893617021278,983
Aquis,8,7,1,122.875,983
BTArtbox,50,24,26,19.64,982
Auric Blends,13,9,4,75.46153846153847,981
MelodySusie,15,10,5,65.2,978
Paul Sebastian,39,21,18,24.974358974358974,974
AcneFree,27,11,16,35.925925925925924,970
Nailtiques,48,25,23,20.208333333333332,970
Gold N Hot,69,27,42,14.043478260869565,969
Lacoste,94,24,70,10.287234042553191,967
NEOCUTIS,42,25,17,22.952380952380953,964
Milani,306,28,278,3.1470588235294117,963
Just for Men,42,31,11,22.88095238095238,961
Paco Rabanne,80,24,56,12.0,960
smellgood,20,13,7,48.0,960
Yardley,102,38,64,9.392156862745098,958
HEY,8,5,3,118.875,951
SkinMedica,81,32,49,11.728395061728396,950
Sarah Jessica Parker,30,10,20,31.533333333333335,946
Britney Spears,77,21,56,12.233766233766234,942
Fashionwu,9,6,3,104.33333333333333,939
Bosley,61,31,30,15.37704918032787,938
Jennifer Lopez,58,19,39,16.17241379310345,938
ELMA&amp;SANA,15,10,5,61.733333333333334,926
Pedifix,43,20,23,21.53488372093023,926
Roux,80,23,57,11.5625,925
Kent,80,30,50,11.4875,919
Ecco Bella,46,17,29,19.891304347826086,915
Clearasil,41,25,16,21.975609756097562,901
Seventh Generation,37,16,21,24.2972972972973,899
Panasonic,61,17,44,14.704918032786885,897
Body Toolz,33,15,18,27.151515151515152,896
Elemis,126,39,87,7.103174603174603,895
Bioderma,59,18,41,15.101694915254237,891
Freeman,41,16,25,21.634146341463413,887
Quimica Alemana,11,8,3,80.45454545454545,885
Dabur,44,20,24,20.068181818181817,883
Arbonne,82,35,47,10.731707317073171,880
Vera Wang,65,21,44,13.507692307692308,878
Jessica Simpson,40,17,23,21.95,878
DermOrganic,48,21,27,18.25,876
Jan Marini,104,37,67,8.413461538461538,875
Dr. Hauschka,79,32,47,11.037974683544304,872
Schick,13,6,7,66.53846153846153,865
Nivea Men,33,19,14,26.151515151515152,863
Earth Mama Angel Baby,24,12,12,35.875,861
Head &amp; Shoulders,63,28,35,13.619047619047619,858
Coppertone,104,36,68,8.23076923076923,856
Knot Genie Detangling Brush,2,2,0,428.0,856
Wahl,30,18,12,28.5,855
Bundle Monster,12,8,4,70.75,849
Got2b,57,28,29,14.859649122807017,847
TONYMOLY,90,18,72,9.4,846
Pravana,103,22,81,8.20388349514563,845
Clubman,41,23,18,20.5609756097561,843
Kodiake,110,30,80,7.663636363636364,843
DHC,44,18,26,19.15909090909091,843
Lysol,19,13,6,44.26315789473684,841
Nerium,7,3,4,120.14285714285714,841
Epower Mall,77,18,59,10.805194805194805,832
EO,65,39,26,12.676923076923076,824
Bio Ionic,34,17,17,24.029411764705884,817
Vivite,36,21,15,22.63888888888889,815
REDKEN,198,29,169,4.101010101010101,812
Prada,97,23,74,8.360824742268042,811
Hydroxatone,30,17,13,27.0,810
Jane Cosmetics,50,20,30,16.06,803
AMBI,32,19,13,25.09375,803
Zeno,12,9,3,66.75,801
GloMinerals,130,24,106,6.107692307692307,794
All Natural &amp; Handmade in the Pocono Mountains,2,2,0,396.0,792
Village Naturals,32,17,15,24.75,792
Hair Art,91,27,64,8.692307692307692,791
Giovanni,99,37,62,7.97979797979798,790
adidas,80,21,59,9.8625,789
TurboIon,16,13,3,49.3125,789
OZ Naturals,2,2,0,394.0,788
Organic Root Stimulator,53,28,25,14.867924528301886,788
Duri Cosmetics,28,12,16,28.142857142857142,788
Alfred Sung,45,17,28,17.488888888888887,787
Badger,40,21,19,19.55,782
Swedish Beauty,48,23,25,16.291666666666668,782
Salon Supply Store,35,16,19,22.314285714285713,781
SALUX,13,10,3,59.92307692307692,779
Amzdeal,4,3,1,194.75,779
Perricone MD,80,32,48,9.725,778
Eveline Cosmetics,22,11,11,35.27272727272727,776
Yonka,163,32,131,4.730061349693251,771
Dr. Bronner,16,11,5,48.125,770
Softsoap,87,30,57,8.850574712643677,770
HairDo,35,11,24,21.942857142857143,768
Frownies,22,11,11,34.81818181818182,766
ShiKai,93,36,57,8.225806451612904,765
Earth Science,58,27,31,13.155172413793103,763
Buf-Puf,20,15,5,38.1,762
Make Up For Ever,183,28,155,4.147540983606557,759
Pacifica,43,17,26,17.6046511627907,757
Cosmedica Skincare,2,2,0,378.5,757
Jean Paul Gaultier,76,15,61,9.93421052631579,755
DS Laboratories,35,17,18,21.514285714285716,753
Red Cherry,94,26,68,7.98936170212766,751
Vakind,2,2,0,374.5,749
Tan Towel,43,15,28,17.3953488372093,748
AlfaParf,148,28,120,5.047297297297297,747
Spornette,76,19,57,9.81578947368421,746
Skin Food,163,24,139,4.570552147239264,745
Laila Ali,23,6,17,32.391304347826086,745
Emerita,7,4,3,106.28571428571429,744
Gratiae Organics,17,16,1,43.76470588235294,744
Beauticom,39,16,23,19.0,741
Rene Furterer,97,29,68,7.639175257731959,741
Dudu-osun,6,5,1,123.5,741
KidKraft,22,19,3,33.54545454545455,738
Anastasia,52,23,29,14.192307692307692,738
Skin Beauty Essentials,1,1,0,735.0,735
Yesurprise,119,23,96,6.151260504201681,732
Bobbi Brown,217,29,188,3.3686635944700463,731
Naturtint,60,22,38,12.15,729
Scalpmaster,57,22,35,12.771929824561404,728
Korres,142,24,118,5.119718309859155,727
Fruit of the Earth,32,12,20,22.71875,727
Hermes,108,33,75,6.731481481481482,727
Montblanc,44,11,33,16.363636363636363,720
Better Living,18,14,4,39.94444444444444,719
Color Club,100,23,77,7.17,717
Olivia Garden,43,19,24,16.53488372093023,711
Equal,66,19,47,10.757575757575758,710
Mason Pearson,66,25,41,10.757575757575758,710
Grandpa&#39;s,32,17,15,22.0625,706
My Sky,25,12,13,28.2,705
O&#39;Keeffe&#39;s,11,8,3,63.72727272727273,701
Acure,17,16,1,41.23529411764706,701
Escada,105,25,80,6.6571428571428575,699
Ultrax Laboratories,3,3,0,232.33333333333334,697
John Masters,58,32,26,11.931034482758621,692
Outre,132,27,105,5.242424242424242,692
Alaffia,56,34,22,12.285714285714286,688
Super Nail,62,22,40,11.064516129032258,686
"CosmeSearch, Inc.",5,4,1,136.8,684
Yes To Carrots,28,24,4,24.392857142857142,683
Model in a Bottle,15,6,9,45.266666666666666,679
Jovan,64,21,43,10.609375,679
California Baby,46,26,20,14.73913043478261,678
CARAVAN,204,22,182,3.3186274509803924,677
Revision,30,15,15,22.533333333333335,676
Living Proof,53,28,25,12.754716981132075,676
Mrs. Meyers,10,4,6,67.6,676
Azzaro,65,19,46,10.384615384615385,675
Elchim,28,11,17,24.071428571428573,674
Creed,83,20,63,8.072289156626505,670
Usher,29,10,19,23.06896551724138,669
Viktor &amp; Rolf,36,13,23,18.583333333333332,669
Q-Tips,18,11,7,37.05555555555556,667
Brazilian Blowout,40,18,22,16.675,667
Natural Vitality,6,4,2,111.0,666
Aquasentials,7,7,0,95.0,665
Oscar de la Renta,75,19,56,8.853333333333333,664
Avani,30,23,7,21.866666666666667,656
Bioelements,83,30,53,7.903614457831325,656
Egyptian Magic,5,3,2,130.6,653
Old Glory,34,11,23,19.176470588235293,652
Mustela,44,18,26,14.681818181818182,646
ColoreScience,97,21,76,6.628865979381444,643
Giorgio Beverly Hills,74,19,55,8.608108108108109,637
Cartier,89,22,67,7.157303370786517,637
GATSBY,60,13,47,10.616666666666667,637
Buff,3,2,1,212.0,636
Nails gaga,73,14,59,8.712328767123287,636
Fragrances of Ireland,22,17,5,28.727272727272727,632
As I Am,24,15,9,26.166666666666668,628
Aqua Glycolic,11,10,1,56.90909090909091,626
Image,40,16,24,15.625,625
Shea Terra Organics,33,13,20,18.939393939393938,625
Cuba,60,17,43,10.4,624
ghd PROFESSIONAL,26,10,16,24.0,624
leegoal,29,18,11,21.413793103448278,621
Guy Laroche,32,14,18,19.375,620
Caffeine,1,1,0,619.0,619
Nutra Luxe Md,23,7,16,26.652173913043477,613
ISO,67,28,39,9.149253731343284,613
Home Health,41,17,24,14.951219512195122,613
"Lace Locs, Inc",2,2,0,306.0,612
BVLGARI,71,24,47,8.619718309859154,612
Malibu Wellness,32,15,17,19.0625,610
Hard Candy,210,14,196,2.9047619047619047,610
PRI,4,4,0,152.5,610
Tropical Naturals,6,4,2,101.33333333333333,608
Aura Cacia,110,22,88,5.5181818181818185,607
ABBA,77,27,50,7.883116883116883,607
Classic,4,3,1,151.5,606
Fran Wilson,25,17,8,24.24,606
Not Your Mother&#39;s,26,13,13,23.307692307692307,606
Kenzo,82,20,62,7.390243902439025,606
My Beauty Diary,32,12,20,18.9375,606
Tarte,113,22,91,5.345132743362832,604
Zupishi,129,29,100,4.682170542635659,604
Myrurgia,35,17,18,17.142857142857142,600
Jessica McClintock,27,11,16,22.185185185185187,599
Spornette International,25,13,12,23.96,599
Bass Brushes,33,11,22,18.12121212121212,598
Irene Gari,24,12,12,24.875,597
Medicool,20,9,11,29.7,594
Ouidad,47,20,27,12.638297872340425,594
It Cosmetics,48,19,29,12.354166666666666,593
Aphogee,31,15,16,19.032258064516128,590
Idea Village,4,4,0,147.5,590
Original Sprout,18,14,4,32.72222222222222,589
Halston,51,14,37,11.549019607843137,589
Sensationnel,121,19,102,4.8429752066115705,586
Trader Joe&#39;s,44,15,29,13.227272727272727,582
Toni &amp; Guy,30,9,21,19.4,582
GUESS,47,16,31,12.340425531914894,580
Josie Maran,66,18,48,8.772727272727273,579
UNITE,51,22,29,11.352941176470589,579
Sleek,19,5,14,30.36842105263158,577
Creme of Nature,44,21,23,13.113636363636363,577
Dr. Woods,35,15,20,16.457142857142856,576
Maple Holistics,6,5,1,95.66666666666667,574
Avon Anew,36,18,18,15.916666666666666,573
Parfums de Coeur,57,27,30,10.052631578947368,573
Kevin Murphy,53,24,29,10.81132075471698,573
Philips,28,12,16,20.428571428571427,572
Eufora,50,29,21,11.44,572
Ivory,26,15,11,22.0,572
Kinky Curly,12,7,5,47.583333333333336,571
Camille Beckman,42,9,33,13.595238095238095,571
Celebrity,34,14,20,16.794117647058822,571
Solano,33,13,20,17.12121212121212,565
Hair One,7,4,3,80.57142857142857,564
Splat,24,8,16,23.5,564
Light Mountain,40,19,21,14.075,563
AG Hair Cosmetics,85,27,58,6.623529411764705,563
Salvatore Ferragamo,72,22,50,7.805555555555555,562
Fairy Tales,33,12,21,16.939393939393938,559
Al-Rehab,58,21,37,9.637931034482758,559
Dermablend,23,9,14,24.17391304347826,556
Likas,8,6,2,69.375,555
FantaSea,25,8,17,22.16,554
Klorane,62,15,47,8.935483870967742,554
AVEDA,101,26,75,5.465346534653466,552
Mario Badescu,19,7,12,29.0,551
OCuSOFT,9,7,2,61.22222222222222,551
Lansky,4,3,1,137.75,551
Bemaystar,7,4,3,78.28571428571429,548
LUSH Cosmetics,49,26,23,11.183673469387756,548
Maui Babe,16,9,7,34.1875,547
Fusion Beauty,45,9,36,12.133333333333333,546
Prince Matchabelli,23,16,7,23.695652173913043,545
Deep Steep,54,9,45,10.074074074074074,544
Ocean Potion,39,18,21,13.948717948717949,544
Old Spice,49,17,32,11.081632653061224,543
Oscar Blandi,40,18,22,13.575,543
Nutra Nail,45,18,27,12.066666666666666,543
Cacharel,56,17,39,9.678571428571429,542
Basis,11,7,4,49.27272727272727,542
NIA24,19,13,6,28.42105263157895,540
X&amp;Y ANGEL,39,19,20,13.820512820512821,539
Tommy Hilfiger,64,18,46,8.40625,538
Dermawand,2,2,0,269.0,538
Xtreme Brite,7,5,2,76.71428571428571,537
Creative Bioscience,9,6,3,59.666666666666664,537
NeoStrata,49,27,22,10.877551020408163,533
Dr. Dennis Gross Skincare,36,14,22,14.75,531
Silicon Mix,36,13,23,14.722222222222221,530
Mrs. Meyer&#39;s Clean Day,8,5,3,66.125,529
Nina Ricci,61,19,42,8.655737704918034,528
DeVita,36,15,21,14.666666666666666,528
Jose Eber,30,18,12,17.566666666666666,527
Barielle,59,20,39,8.915254237288135,526
Life Extension,19,3,16,27.63157894736842,525
Caress,40,22,18,13.1,524
Topix,21,9,12,24.761904761904763,520
Kingsley,32,15,17,16.25,520
Everyone,18,8,10,28.88888888888889,520
InterDesign,2,2,0,258.5,517
Plantlife,31,17,14,16.64516129032258,516
Delon+,28,17,11,18.428571428571427,516
Marianna,27,15,12,19.0,513
Holika Holika,40,4,36,12.825,513
Dr. Teal&#39;s,17,11,6,30.11764705882353,512
Skin Beauty Solutions,17,8,9,29.88235294117647,508
BabyGanics,18,11,7,28.166666666666668,507
Hanae Mori,38,15,23,13.342105263157896,507
Curel,36,18,18,14.027777777777779,505
Wild Growth,5,4,1,100.6,503
Sebamed,33,18,15,15.212121212121213,502
pHisoderm,18,12,6,27.833333333333332,501
Profoot,6,4,2,83.33333333333333,500
Beauty Without Cruelty,54,21,33,9.24074074074074,499
Mineral Fusion Natural Brands,64,24,40,7.796875,499
Cortex,22,7,15,22.681818181818183,499
CoTZ,8,4,4,62.375,499
Irish Spring,32,13,19,15.5625,498
Digestive Advantage,1,1,0,498.0,498
Coach,54,20,34,9.222222222222221,498
Bevi Beauty Elements Ventures,1,1,0,495.0,495
Eamee,19,14,5,26.05263157894737,495
Just For Me,9,6,3,54.77777777777778,493
Grande Naturals,3,2,1,163.66666666666666,491
Mama Mio,24,7,17,20.458333333333332,491
Lanvin,55,19,36,8.909090909090908,490
Shu Uemura,66,1,65,7.409090909090909,489
Sparks Innovators,1,1,0,489.0,489
Natural Beauty,1,1,0,488.0,488
Chloe,46,18,28,10.58695652173913,487
Ben Nye,8,5,3,60.5,484
J.R. Liggett,28,11,17,17.285714285714285,484
Brown Medical,1,1,0,481.0,481
Cococare,27,8,19,17.77777777777778,480
California Tan,55,19,36,8.709090909090909,479
Miss Jessie&#39;s,23,15,8,20.82608695652174,479
Bain de Terre,81,17,64,5.8765432098765435,476
Freetress,82,14,68,5.7926829268292686,475
Lubriderm,25,16,9,18.92,473
